0,3.26E+04
5,2.53E+04
10,1.99E+04
15,1.57E+04
20,1.25E+04
25,1.00E+04
30,8.06E+03
35,6.54E+03
40,5.33E+03
45,4.37E+03
50,3.61E+03
55,2.99E+03
60,2.49E+03
65,2.08E+03
70,1.75E+03
75,1.48E+03
80,1.26E+03
85,1.07E+03
90,9.15E+02
95,7.86E+02
100,6.77E+02
